dataset,path,size_bytes,size_human,row_count,columns_or_keys,status,route_priority
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold0/COMPLETE.json,1624,1.59 KiB,,status|version|family|fold|seed|best_epoch|best_mean_patient_dice|val_patient_count|val_slice_count|params|trainable_params|best_checkpoint|best_checkpoint_sha256|oof_prob|oof_prob_sha256|oof_mask|oof_mask_sha256|oof_index|oof_index_sha256|patient_metrics|patient_metrics_sha256,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold0/history.csv,2235,2.18 KiB,26,epoch|train_loss|val_loss|val_mean_patient_dice|best_mean_patient_dice|bad_epochs,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold1/best_oof_index.csv,14608,14.27 KiB,717,global_index|case_key|fold|slice_index,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold1/best_patient_metrics.csv,1348,1.32 KiB,28,case_key|dice_3d|tp|fp|fn,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold1/COMPLETE.json,1624,1.59 KiB,,status|version|family|fold|seed|best_epoch|best_mean_patient_dice|val_patient_count|val_slice_count|params|trainable_params|best_checkpoint|best_checkpoint_sha256|oof_prob|oof_prob_sha256|oof_mask|oof_mask_sha256|oof_index|oof_index_sha256|patient_metrics|patient_metrics_sha256,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold1/history.csv,3715,3.63 KiB,44,epoch|train_loss|val_loss|val_mean_patient_dice|best_mean_patient_dice|bad_epochs,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold2/best_oof_index.csv,14783,14.44 KiB,723,global_index|case_key|fold|slice_index,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold2/best_patient_metrics.csv,1346,1.31 KiB,28,case_key|dice_3d|tp|fp|fn,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold2/COMPLETE.json,1624,1.59 KiB,,status|version|family|fold|seed|best_epoch|best_mean_patient_dice|val_patient_count|val_slice_count|params|trainable_params|best_checkpoint|best_checkpoint_sha256|oof_prob|oof_prob_sha256|oof_mask|oof_mask_sha256|oof_index|oof_index_sha256|patient_metrics|patient_metrics_sha256,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold2/history.csv,3559,3.48 KiB,42,epoch|train_loss|val_loss|val_mean_patient_dice|best_mean_patient_dice|bad_epochs,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold3/best_oof_index.csv,14426,14.09 KiB,709,global_index|case_key|fold|slice_index,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold3/best_patient_metrics.csv,1343,1.31 KiB,28,case_key|dice_3d|tp|fp|fn,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold3/COMPLETE.json,1624,1.59 KiB,,status|version|family|fold|seed|best_epoch|best_mean_patient_dice|val_patient_count|val_slice_count|params|trainable_params|best_checkpoint|best_checkpoint_sha256|oof_prob|oof_prob_sha256|oof_mask|oof_mask_sha256|oof_index|oof_index_sha256|patient_metrics|patient_metrics_sha256,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold3/history.csv,2891,2.82 KiB,34,epoch|train_loss|val_loss|val_mean_patient_dice|best_mean_patient_dice|bad_epochs,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold4/best_oof_index.csv,13866,13.54 KiB,685,global_index|case_key|fold|slice_index,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold4/best_patient_metrics.csv,1298,1.27 KiB,27,case_key|dice_3d|tp|fp|fn,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold4/COMPLETE.json,1623,1.58 KiB,,status|version|family|fold|seed|best_epoch|best_mean_patient_dice|val_patient_count|val_slice_count|params|trainable_params|best_checkpoint|best_checkpoint_sha256|oof_prob|oof_prob_sha256|oof_mask|oof_mask_sha256|oof_index|oof_index_sha256|patient_metrics|patient_metrics_sha256,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold4/history.csv,1976,1.93 KiB,23,epoch|train_loss|val_loss|val_mean_patient_dice|best_mean_patient_dice|bad_epochs,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold0/best_oof_index.csv,14630,14.29 KiB,719,global_index|case_key|fold|slice_index,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold0/best_patient_metrics.csv,1350,1.32 KiB,28,case_key|dice_3d|tp|fp|fn,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold0/COMPLETE.json,1616,1.58 KiB,,status|version|family|fold|seed|best_epoch|best_mean_patient_dice|val_patient_count|val_slice_count|params|trainable_params|best_checkpoint|best_checkpoint_sha256|oof_prob|oof_prob_sha256|oof_mask|oof_mask_sha256|oof_index|oof_index_sha256|patient_metrics|patient_metrics_sha256,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold0/history.csv,4143,4.05 KiB,49,epoch|train_loss|val_loss|val_mean_patient_dice|best_mean_patient_dice|bad_epochs,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold1/best_oof_index.csv,14608,14.27 KiB,717,global_index|case_key|fold|slice_index,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold1/best_patient_metrics.csv,1356,1.32 KiB,28,case_key|dice_3d|tp|fp|fn,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold1/COMPLETE.json,1616,1.58 KiB,,status|version|family|fold|seed|best_epoch|best_mean_patient_dice|val_patient_count|val_slice_count|params|trainable_params|best_checkpoint|best_checkpoint_sha256|oof_prob|oof_prob_sha256|oof_mask|oof_mask_sha256|oof_index|oof_index_sha256|patient_metrics|patient_metrics_sha256,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold1/history.csv,3737,3.65 KiB,44,epoch|train_loss|val_loss|val_mean_patient_dice|best_mean_patient_dice|bad_epochs,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold2/best_oof_index.csv,14783,14.44 KiB,723,global_index|case_key|fold|slice_index,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold2/best_patient_metrics.csv,1348,1.32 KiB,28,case_key|dice_3d|tp|fp|fn,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold2/COMPLETE.json,1616,1.58 KiB,,status|version|family|fold|seed|best_epoch|best_mean_patient_dice|val_patient_count|val_slice_count|params|trainable_params|best_checkpoint|best_checkpoint_sha256|oof_prob|oof_prob_sha256|oof_mask|oof_mask_sha256|oof_index|oof_index_sha256|patient_metrics|patient_metrics_sha256,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold2/history.csv,4228,4.13 KiB,50,epoch|train_loss|val_loss|val_mean_patient_dice|best_mean_patient_dice|bad_epochs,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold3/best_oof_index.csv,14426,14.09 KiB,709,global_index|case_key|fold|slice_index,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold3/best_patient_metrics.csv,1346,1.31 KiB,28,case_key|dice_3d|tp|fp|fn,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold3/COMPLETE.json,1616,1.58 KiB,,status|version|family|fold|seed|best_epoch|best_mean_patient_dice|val_patient_count|val_slice_count|params|trainable_params|best_checkpoint|best_checkpoint_sha256|oof_prob|oof_prob_sha256|oof_mask|oof_mask_sha256|oof_index|oof_index_sha256|patient_metrics|patient_metrics_sha256,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold3/history.csv,3238,3.16 KiB,38,epoch|train_loss|val_loss|val_mean_patient_dice|best_mean_patient_dice|bad_epochs,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold4/best_oof_index.csv,13866,13.54 KiB,685,global_index|case_key|fold|slice_index,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold4/best_patient_metrics.csv,1299,1.27 KiB,27,case_key|dice_3d|tp|fp|fn,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold4/COMPLETE.json,1616,1.58 KiB,,status|version|family|fold|seed|best_epoch|best_mean_patient_dice|val_patient_count|val_slice_count|params|trainable_params|best_checkpoint|best_checkpoint_sha256|oof_prob|oof_prob_sha256|oof_mask|oof_mask_sha256|oof_index|oof_index_sha256|patient_metrics|patient_metrics_sha256,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold4/history.csv,4239,4.14 KiB,50,epoch|train_loss|val_loss|val_mean_patient_dice|best_mean_patient_dice|bad_epochs,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold0/best_oof_index.csv,14630,14.29 KiB,719,global_index|case_key|fold|slice_index,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold0/best_patient_metrics.csv,1353,1.32 KiB,28,case_key|dice_3d|tp|fp|fn,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold0/COMPLETE.json,1566,1.53 KiB,,status|version|family|fold|seed|best_epoch|best_mean_patient_dice|val_patient_count|val_slice_count|params|trainable_params|best_checkpoint|best_checkpoint_sha256|oof_prob|oof_prob_sha256|oof_mask|oof_mask_sha256|oof_index|oof_index_sha256|patient_metrics|patient_metrics_sha256,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold0/history.csv,3375,3.30 KiB,40,epoch|train_loss|val_loss|val_mean_patient_dice|best_mean_patient_dice|bad_epochs,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold1/best_oof_index.csv,14608,14.27 KiB,717,global_index|case_key|fold|slice_index,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold1/best_patient_metrics.csv,1350,1.32 KiB,28,case_key|dice_3d|tp|fp|fn,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold1/COMPLETE.json,1568,1.53 KiB,,status|version|family|fold|seed|best_epoch|best_mean_patient_dice|val_patient_count|val_slice_count|params|trainable_params|best_checkpoint|best_checkpoint_sha256|oof_prob|oof_prob_sha256|oof_mask|oof_mask_sha256|oof_index|oof_index_sha256|patient_metrics|patient_metrics_sha256,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold1/history.csv,2480,2.42 KiB,29,epoch|train_loss|val_loss|val_mean_patient_dice|best_mean_patient_dice|bad_epochs,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold2/best_oof_index.csv,14783,14.44 KiB,723,global_index|case_key|fold|slice_index,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold2/best_patient_metrics.csv,1352,1.32 KiB,28,case_key|dice_3d|tp|fp|fn,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold2/COMPLETE.json,1568,1.53 KiB,,status|version|family|fold|seed|best_epoch|best_mean_patient_dice|val_patient_count|val_slice_count|params|trainable_params|best_checkpoint|best_checkpoint_sha256|oof_prob|oof_prob_sha256|oof_mask|oof_mask_sha256|oof_index|oof_index_sha256|patient_metrics|patient_metrics_sha256,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold2/history.csv,2141,2.09 KiB,25,epoch|train_loss|val_loss|val_mean_patient_dice|best_mean_patient_dice|bad_epochs,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold3/best_oof_index.csv,14426,14.09 KiB,709,global_index|case_key|fold|slice_index,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold3/best_patient_metrics.csv,1346,1.31 KiB,28,case_key|dice_3d|tp|fp|fn,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold3/COMPLETE.json,1567,1.53 KiB,,status|version|family|fold|seed|best_epoch|best_mean_patient_dice|val_patient_count|val_slice_count|params|trainable_params|best_checkpoint|best_checkpoint_sha256|oof_prob|oof_prob_sha256|oof_mask|oof_mask_sha256|oof_index|oof_index_sha256|patient_metrics|patient_metrics_sha256,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold3/history.csv,2881,2.81 KiB,34,epoch|train_loss|val_loss|val_mean_patient_dice|best_mean_patient_dice|bad_epochs,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold4/best_oof_index.csv,13866,13.54 KiB,685,global_index|case_key|fold|slice_index,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold4/best_patient_metrics.csv,1300,1.27 KiB,27,case_key|dice_3d|tp|fp|fn,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold4/COMPLETE.json,1567,1.53 KiB,,status|version|family|fold|seed|best_epoch|best_mean_patient_dice|val_patient_count|val_slice_count|params|trainable_params|best_checkpoint|best_checkpoint_sha256|oof_prob|oof_prob_sha256|oof_mask|oof_mask_sha256|oof_index|oof_index_sha256|patient_metrics|patient_metrics_sha256,OK,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold4/history.csv,4123,4.03 KiB,49,epoch|train_loss|val_loss|val_mean_patient_dice|best_mean_patient_dice|bad_epochs,OK,100
Prostate158,outputs/Q1X_CM4A_source_oof_exact_batch_replay_audit_fix3_v1/CM4A_EXACT_BATCH_REPLAY_AUDIT.json,1404,1.37 KiB,,status|version|cm3_lock_sha256|cm3_helper_sha256|replay_batch_size|replay_order|cudnn_deterministic|cudnn_benchmark|total_family_slices|total_pixels|total_mismatch_slices|total_mismatch_pixels|overall_pixel_mismatch_fraction|global_max_abs_probability_difference|global_max_mismatch_distance_to_0.5|exact_binary_replay_pass|tent|promises12_access|tolerance_relaxation|decision|artifacts,OK,0
Prostate158,outputs/Q1X_CM4A_source_oof_exact_batch_replay_audit_fix3_v1/CM4A_EXACT_BATCH_REPLAY_MISMATCH_PIXELS.csv,2,2.00 B,0,,OK,0
Prostate158,outputs/Q1X_CM4A_source_oof_exact_batch_replay_audit_fix3_v1/CM4A_EXACT_BATCH_REPLAY_SUMMARY.csv,803,803.00 B,15,family|fold|slices|batch_size|mismatch_slices|mismatch_pixels|pixel_mismatch_fraction|exact_float16_probability_fraction|max_abs_probability_difference|max_mismatch_distance_to_0.5,OK,0
Prostate158,outputs/Q1X_CM4A_source_oof_replay_numerical_boundary_audit_fix2_v1/CM4A_REPLAY_MISMATCH_PIXELS.csv,317408,309.97 KiB,2987,family|fold|global_index|case_key|slice_index|y|x|stored_prob_f16|replay_prob_f16|stored_mask|replay_mask|abs_prob_diff|stored_distance_to_half|replay_distance_to_half,OK,0
Prostate158,outputs/Q1X_CM4A_source_oof_replay_numerical_boundary_audit_fix2_v1/CM4A_REPLAY_NUMERICAL_AUDIT.json,1289,1.26 KiB,,status|version|cm3_lock_sha256|cm3_helper_sha256|families|total_family_slices|total_pixels|total_mismatch_slices|total_mismatch_pixels|overall_pixel_mismatch_fraction|global_max_abs_probability_difference|global_max_mismatch_distance_to_0.5|promises12_access|tent|decision|artifacts,OK,0
Prostate158,outputs/Q1X_CM4A_source_oof_replay_numerical_boundary_audit_fix2_v1/CM4A_REPLAY_NUMERICAL_AUDIT_SUMMARY.csv,1927,1.88 KiB,15,family|fold|slices|mismatch_slices|mismatch_pixels|pixel_mismatch_fraction|exact_float16_probability_fraction|max_abs_probability_difference|max_mismatch_abs_probability_difference|max_mismatch_distance_to_0.5|mismatch_pixels_with_either_probability_exactly_0.5,OK,0
Prostate158,outputs/Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1_v1/CM4B_DINOV2_BASE_LOCK.json,1033,1.01 KiB,,status|repo|commit|weight_file|weight_path|weight_sha256|config_path|config_sha256|input|promises12_access,OK,0
Prostate158,outputs/Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1_v1/CM4B_FEATURE_EXTRACTION_META.json,936,936.00 B,,status|version|shape|dtype|family_order|feature_layout|source_mask_to_dino|feature_file|feature_sha256|promises12_access,OK,0
Prostate158,outputs/Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1_v1/CM4B_FINAL_MACRO_AUROC_PATIENT_BOOTSTRAP.json,154,154.00 B,,reps_requested|reps_valid|mean|ci95_low|ci95_high,OK,0
Prostate158,outputs/Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1_v1/CM4B_MRI_SOURCE_SAFETY_OOF_LOCK.json,4378,4.28 KiB,,status|decision|version|build|cm3_lock_sha256|cm4a_lock_sha256|source_patients|source_slices|family_slice_rows|sample_unit|grouping_unit|harm_rule|action|dino_lock|representation|safety_head|primary_endpoint|final_family_auroc|threshold_selection|final_all_source_head_fitting|promises12_access|target_calibration|artifacts|next_stage,OK,0
Prostate158,outputs/Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1_v1/CM4B_PREFLIGHT.json,1696,1.66 KiB,,status|version|cm3_lock_sha256|cm4a_lock_sha256|dino_lock|dino_weight_sha256|source_rows|source_patients|harm_counts|patient_grouped_folds|promises12_access|threshold_selection,OK,0
Prostate158,outputs/Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1_v1/CM4B_SOURCE_SAFETY_OOF_METRICS.csv,1141,1.11 KiB,15,representation|scope|auroc|auprc|spearman_score_vs_minus_delta,OK,0
Prostate158,outputs/Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1_v1/CM4B_SOURCE_SAFETY_OOF_SCORES.csv,1454693,1.39 MiB,10659,family|fold|global_index|case_key|slice_index|harmful|neutral|beneficial|source_dice|tent1_dice|delta_dice|score_M2|score_CondDINO|score_Final,OK,0
Prostate158,outputs/Q1X_CM4C_final_source_safety_estimator_and_threshold_lock_fix2_v1/CM4C_FINAL_ALL_SOURCE_REFIT_SCORES.csv,882814,862.12 KiB,10659,family|fold|global_index|case_key|harmful|delta_dice|score_Final|score_final_refit_all_source,OK,0
Prostate158,outputs/Q1X_CM4C_final_source_safety_estimator_and_threshold_lock_fix2_v1/CM4C_FINAL_SOURCE_SAFETY_ESTIMATOR_LOCK.json,6161,6.02 KiB,,status|decision|version|build|cm4a_lock_sha256|cm4b_lock_sha256|cm4b_helper_sha256|source|frozen_representation|frozen_source_operating_point|final_estimator|score_scale_audit|information_boundary|artifacts|next_stage,OK,0
Prostate158,outputs/Q1X_CM4C_final_source_safety_estimator_and_threshold_lock_fix2_v1/CM4C_SOURCE_OPERATING_POINT.json,2296,2.24 KiB,,status|version|oof_reference_operating_point|final_refit_deployment_operating_point|important_scope_note|promises12_access,OK,0
