path,line,match,context
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,339,"""source_fg_fraction"": float(np.mean(mask)),","L337:""source_confidence_mean"": float(np.mean(conf)), || L338:""source_confidence_std"": float(np.std(conf)), || L339:""source_fg_fraction"": float(np.mean(mask)), || L340:""source_boundary_density"": boundary_density(mask), || L341:""source_uncertain_fraction_040_060"": float("
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,342,np.mean((p >= 0.40) & (p <= 0.60)),"L340:""source_boundary_density"": boundary_density(mask), || L341:""source_uncertain_fraction_040_060"": float( || L342:np.mean((p >= 0.40) & (p <= 0.60)) || L343:), || L344:""source_high_entropy_fraction_050"": float(np.mean(ent >= 0.50)),"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,344,"""source_high_entropy_fraction_050"": float(np.mean(ent >= 0.50)),","L342:np.mean((p >= 0.40) & (p <= 0.60)) || L343:), || L344:""source_high_entropy_fraction_050"": float(np.mean(ent >= 0.50)), || L345:""source_logit_abs_mean"": float(np.mean(np.abs(z))), || L346:""source_logit_abs_std"": float(np.std(np.abs(z))),"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,345,"""source_logit_abs_mean"": float(np.mean(np.abs(z))),","L343:), || L344:""source_high_entropy_fraction_050"": float(np.mean(ent >= 0.50)), || L345:""source_logit_abs_mean"": float(np.mean(np.abs(z))), || L346:""source_logit_abs_std"": float(np.std(np.abs(z))), || L347:""tent_preupdate_entropy_loss"": float(tent_loss),"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,346,"""source_logit_abs_std"": float(np.std(np.abs(z))),","L344:""source_high_entropy_fraction_050"": float(np.mean(ent >= 0.50)), || L345:""source_logit_abs_mean"": float(np.mean(np.abs(z))), || L346:""source_logit_abs_std"": float(np.std(np.abs(z))), || L347:""tent_preupdate_entropy_loss"": float(tent_loss), || L348:}"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,443,"(""SegFormer-B0"", SEGFORMER_CHECKPOINTS),","L441:(""PraNet"", PRANET_CHECKPOINTS), || L442:(""DeepLabV3-R50"", DEEPLAB_CHECKPOINTS), || L443:(""SegFormer-B0"", SEGFORMER_CHECKPOINTS), || L444:): || L445:for seed, (path, sha) in mapping.items():"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,834,"z = training.deeplab_logits(model, x).detach()","L832:) || L833:with torch.no_grad(): || L834:z = training.deeplab_logits(model, x).detach() || L835:z_np = z[0, 0].float().cpu().numpy() || L836:"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,898,# SegFormer one-step normalization-affine TENT,L896: || L897:# --------------------------------------------------------------------- || L898:# SegFormer one-step normalization-affine TENT || L899:# --------------------------------------------------------------------- || L900:
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,901,"def segformer_tensor(image, mean, std, torch):","L899:# --------------------------------------------------------------------- || L900: || L901:def segformer_tensor(image, mean, std, torch): || L902:resized = image.convert(""RGB"").resize( || L903:(IMAGE_SIZE, IMAGE_SIZE),"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,902,"resized = image.convert(""RGB"").resize(","L900: || L901:def segformer_tensor(image, mean, std, torch): || L902:resized = image.convert(""RGB"").resize( || L903:(IMAGE_SIZE, IMAGE_SIZE), || L904:resample=Image.Resampling.BILINEAR,"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,906,"arr = np.asarray(resized, dtype=np.float32) / 255.0","L904:resample=Image.Resampling.BILINEAR, || L905:) || L906:arr = np.asarray(resized, dtype=np.float32) / 255.0 || L907:arr = (arr - mean[None, None, :]) / std[None, None, :] || L908:arr = np.transpose(arr, (2, 0, 1)).copy()"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,907,"arr = (arr - mean[None, None, :]) / std[None, None, :]","L905:) || L906:arr = np.asarray(resized, dtype=np.float32) / 255.0 || L907:arr = (arr - mean[None, None, :]) / std[None, None, :] || L908:arr = np.transpose(arr, (2, 0, 1)).copy() || L909:return torch.from_numpy(arr).unsqueeze(0)"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,922,"def dice_from_z352(z, gt, torch, F):","L920: || L921: || L922:def dice_from_z352(z, gt, torch, F): || L923:t = torch.from_numpy(np.asarray(z, dtype=np.float32))[None, None] || L924:up = F.interpolate("
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,924,up = F.interpolate(,"L922:def dice_from_z352(z, gt, torch, F): || L923:t = torch.from_numpy(np.asarray(z, dtype=np.float32))[None, None] || L924:up = F.interpolate( || L925:t, || L926:size=tuple(gt.shape),"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,939,"def configure_segformer_tent(model, nn):","L937: || L938: || L939:def configure_segformer_tent(model, nn): || L940:model.requires_grad_(False) || L941:params = []"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,966,"raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: no norm affine params"")","L964: || L965:if not params: || L966:raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: no norm affine params"") || L967:if len(names) != len(set(names)): || L968:raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: duplicate params"")"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,968,"raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: duplicate params"")","L966:raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: no norm affine params"") || L967:if len(names) != len(set(names)): || L968:raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: duplicate params"") || L969: || L970:return params, names, bn_modules, bn_original_track, dropout_modules, dropout_names"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,984,def segformer_source_mode(,"L982: || L983: || L984:def segformer_source_mode( || L985:model, bn_modules, bn_original_track, dropout_modules || L986:):"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,995,"def segformer_tent_mode(model, bn_modules, dropout_modules):","L993: || L994: || L995:def segformer_tent_mode(model, bn_modules, dropout_modules): || L996:model.train() || L997:for module in bn_modules:"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1004,"def segformer_logits_and_z(model, x, F):","L1002: || L1003: || L1004:def segformer_logits_and_z(model, x, F): || L1005:outputs = model(pixel_values=x) || L1006:logits = F.interpolate("
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1005,outputs = model(pixel_values=x),"L1003: || L1004:def segformer_logits_and_z(model, x, F): || L1005:outputs = model(pixel_values=x) || L1006:logits = F.interpolate( || L1007:outputs.logits,"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1006,logits = F.interpolate(,"L1004:def segformer_logits_and_z(model, x, F): || L1005:outputs = model(pixel_values=x) || L1006:logits = F.interpolate( || L1007:outputs.logits, || L1008:size=(IMAGE_SIZE, IMAGE_SIZE),"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1007,"outputs.logits,","L1005:outputs = model(pixel_values=x) || L1006:logits = F.interpolate( || L1007:outputs.logits, || L1008:size=(IMAGE_SIZE, IMAGE_SIZE), || L1009:mode=""bilinear"","
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1012,if logits.ndim != 4 or logits.shape[1] != 2:,"L1010:align_corners=False, || L1011:) || L1012:if logits.ndim != 4 or logits.shape[1] != 2: || L1013:raise RuntimeError( || L1014:f""INVALID_Q1_R03_SEGFORMER_TENT: logits={tuple(logits.shape)}"""
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1014,"f""INVALID_Q1_R03_SEGFORMER_TENT: logits={tuple(logits.shape)}""","L1012:if logits.ndim != 4 or logits.shape[1] != 2: || L1013:raise RuntimeError( || L1014:f""INVALID_Q1_R03_SEGFORMER_TENT: logits={tuple(logits.shape)}"" || L1015:) || L1016:z = logits[:, 1] - logits[:, 0]"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1016,"z = logits[:, 1] - logits[:, 0]","L1014:f""INVALID_Q1_R03_SEGFORMER_TENT: logits={tuple(logits.shape)}"" || L1015:) || L1016:z = logits[:, 1] - logits[:, 0] || L1017:return logits, z || L1018:"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1017,"return logits, z","L1015:) || L1016:z = logits[:, 1] - logits[:, 0] || L1017:return logits, z || L1018: || L1019:"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1020,"def categorical_entropy(logits, torch):","L1018: || L1019: || L1020:def categorical_entropy(logits, torch): || L1021:p = torch.softmax(logits, dim=1) || L1022:return -(p * torch.log(p.clamp_min(1e-7))).sum(dim=1).mean()"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1021,"p = torch.softmax(logits, dim=1)","L1019: || L1020:def categorical_entropy(logits, torch): || L1021:p = torch.softmax(logits, dim=1) || L1022:return -(p * torch.log(p.clamp_min(1e-7))).sum(dim=1).mean() || L1023:"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1022,return -(p * torch.log(p.clamp_min(1e-7))).sum(dim=1).mean(),"L1020:def categorical_entropy(logits, torch): || L1021:p = torch.softmax(logits, dim=1) || L1022:return -(p * torch.log(p.clamp_min(1e-7))).sum(dim=1).mean() || L1023: || L1024:"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1025,def build_segformer_context(device):,L1023: || L1024: || L1025:def build_segformer_context(device): || L1026:import torch || L1027:import torch.nn as nn
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1029,"from transformers import AutoImageProcessor, SegformerConfig, SegformerForSemanticSegmentation","L1027:import torch.nn as nn || L1028:import torch.nn.functional as F || L1029:from transformers import AutoImageProcessor, SegformerConfig, SegformerForSemanticSegmentation || L1030: || L1031:HF_CACHE.mkdir(parents=True, exist_ok=True)"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1035,processor = AutoImageProcessor.from_pretrained(,"L1033:os.environ[""HUGGINGFACE_HUB_CACHE""] = str(HF_CACHE / ""hub"") || L1034: || L1035:processor = AutoImageProcessor.from_pretrained( || L1036:""nvidia/mit-b0"", || L1037:cache_dir=str(HF_CACHE),"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1036,"""nvidia/mit-b0"",","L1034: || L1035:processor = AutoImageProcessor.from_pretrained( || L1036:""nvidia/mit-b0"", || L1037:cache_dir=str(HF_CACHE), || L1038:do_reduce_labels=False,"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1040,"mean = np.asarray(processor.image_mean, dtype=np.float32)","L1038:do_reduce_labels=False, || L1039:) || L1040:mean = np.asarray(processor.image_mean, dtype=np.float32) || L1041:std = np.asarray(processor.image_std, dtype=np.float32) || L1042:if mean.shape != (3,) or std.shape != (3,):"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1041,"std = np.asarray(processor.image_std, dtype=np.float32)","L1039:) || L1040:mean = np.asarray(processor.image_mean, dtype=np.float32) || L1041:std = np.asarray(processor.image_std, dtype=np.float32) || L1042:if mean.shape != (3,) or std.shape != (3,): || L1043:raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: processor stats"")"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1042,"if mean.shape != (3,) or std.shape != (3,):","L1040:mean = np.asarray(processor.image_mean, dtype=np.float32) || L1041:std = np.asarray(processor.image_std, dtype=np.float32) || L1042:if mean.shape != (3,) or std.shape != (3,): || L1043:raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: processor stats"") || L1044:"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1043,"raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: processor stats"")","L1041:std = np.asarray(processor.image_std, dtype=np.float32) || L1042:if mean.shape != (3,) or std.shape != (3,): || L1043:raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: processor stats"") || L1044: || L1045:config = SegformerConfig.from_pretrained("
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1045,config = SegformerConfig.from_pretrained(,"L1043:raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: processor stats"") || L1044: || L1045:config = SegformerConfig.from_pretrained( || L1046:""nvidia/mit-b0"", || L1047:cache_dir=str(HF_CACHE),"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1046,"""nvidia/mit-b0"",","L1044: || L1045:config = SegformerConfig.from_pretrained( || L1046:""nvidia/mit-b0"", || L1047:cache_dir=str(HF_CACHE), || L1048:)"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1049,config.num_labels = 2,"L1047:cache_dir=str(HF_CACHE), || L1048:) || L1049:config.num_labels = 2 || L1050:config.id2label = {0: ""background"", 1: ""foreground""} || L1051:config.label2id = {""background"": 0, ""foreground"": 1}"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1053,"return torch, nn, F, SegformerForSemanticSegmentation, config, mean, std","L1051:config.label2id = {""background"": 0, ""foreground"": 1} || L1052: || L1053:return torch, nn, F, SegformerForSemanticSegmentation, config, mean, std || L1054: || L1055:"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1056,def load_segformer_state(,"L1054: || L1055: || L1056:def load_segformer_state( || L1057:seed, || L1058:device,"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1059,"SegformerForSemanticSegmentation,","L1057:seed, || L1058:device, || L1059:SegformerForSemanticSegmentation, || L1060:config, || L1061:torch,"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1063,"path, expected_sha = SEGFORMER_CHECKPOINTS[seed]","L1061:torch, || L1062:): || L1063:path, expected_sha = SEGFORMER_CHECKPOINTS[seed] || L1064:validate_sha(path, expected_sha, f""SegFormer checkpoint seed {seed}"") || L1065:payload = robust_torch_load(path, map_location=""cpu"")"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1064,"validate_sha(path, expected_sha, f""SegFormer checkpoint seed {seed}"")","L1062:): || L1063:path, expected_sha = SEGFORMER_CHECKPOINTS[seed] || L1064:validate_sha(path, expected_sha, f""SegFormer checkpoint seed {seed}"") || L1065:payload = robust_torch_load(path, map_location=""cpu"") || L1066:if int(payload.get(""seed"", -1)) != seed:"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1067,"raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: checkpoint seed"")","L1065:payload = robust_torch_load(path, map_location=""cpu"") || L1066:if int(payload.get(""seed"", -1)) != seed: || L1067:raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: checkpoint seed"") || L1068:if payload.get(""architecture"") != ""SegFormer-B0"": || L1069:raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: architecture"")"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1068,"if payload.get(""architecture"") != ""SegFormer-B0"":","L1066:if int(payload.get(""seed"", -1)) != seed: || L1067:raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: checkpoint seed"") || L1068:if payload.get(""architecture"") != ""SegFormer-B0"": || L1069:raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: architecture"") || L1070:state = payload.get(""state_dict"")"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1069,"raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: architecture"")","L1067:raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: checkpoint seed"") || L1068:if payload.get(""architecture"") != ""SegFormer-B0"": || L1069:raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: architecture"") || L1070:state = payload.get(""state_dict"") || L1071:if not isinstance(state, dict) or not state:"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1072,"raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: state_dict"")","L1070:state = payload.get(""state_dict"") || L1071:if not isinstance(state, dict) or not state: || L1072:raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: state_dict"") || L1073: || L1074:model = SegformerForSemanticSegmentation(config)"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1074,model = SegformerForSemanticSegmentation(config),"L1072:raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: state_dict"") || L1073: || L1074:model = SegformerForSemanticSegmentation(config) || L1075:result = model.load_state_dict(state, strict=True) || L1076:if result.missing_keys or result.unexpected_keys:"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1077,"raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: strict load"")","L1075:result = model.load_state_dict(state, strict=True) || L1076:if result.missing_keys or result.unexpected_keys: || L1077:raise RuntimeError(""INVALID_Q1_R03_SEGFORMER_TENT: strict load"") || L1078:return model.to(device) || L1079:"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1081,"def build_segformer_rows(source_rows, device, cache_dir, resume):","L1079: || L1080: || L1081:def build_segformer_rows(source_rows, device, cache_dir, resume): || L1082:( || L1083:torch, nn, F, SegformerForSemanticSegmentation,"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1083,"torch, nn, F, SegformerForSemanticSegmentation,","L1081:def build_segformer_rows(source_rows, device, cache_dir, resume): || L1082:( || L1083:torch, nn, F, SegformerForSemanticSegmentation, || L1084:config, mean, std, || L1085:) = build_segformer_context(device)"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1084,"config, mean, std,","L1082:( || L1083:torch, nn, F, SegformerForSemanticSegmentation, || L1084:config, mean, std, || L1085:) = build_segformer_context(device) || L1086:"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1085,) = build_segformer_context(device),"L1083:torch, nn, F, SegformerForSemanticSegmentation, || L1084:config, mean, std, || L1085:) = build_segformer_context(device) || L1086: || L1087:all_rows = []"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1093,for seed in SEGFORMER_SEEDS:,L1091:per_seed_audit = {} || L1092: || L1093:for seed in SEGFORMER_SEEDS: || L1094:sha = SEGFORMER_CHECKPOINTS[seed][1] || L1095:if resume:
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1094,sha = SEGFORMER_CHECKPOINTS[seed][1],"L1092: || L1093:for seed in SEGFORMER_SEEDS: || L1094:sha = SEGFORMER_CHECKPOINTS[seed][1] || L1095:if resume: || L1096:cached = load_state_cache(cache_dir, ""SegFormer-B0"", seed, sha)"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1096,"cached = load_state_cache(cache_dir, ""SegFormer-B0"", seed, sha)","L1094:sha = SEGFORMER_CHECKPOINTS[seed][1] || L1095:if resume: || L1096:cached = load_state_cache(cache_dir, ""SegFormer-B0"", seed, sha) || L1097:if cached is not None: || L1098:print(f""[RESUME] SegFormer-B0 seed={seed} rows={len(cached)}"")"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1098,"print(f""[RESUME] SegFormer-B0 seed={seed} rows={len(cached)}"")","L1096:cached = load_state_cache(cache_dir, ""SegFormer-B0"", seed, sha) || L1097:if cached is not None: || L1098:print(f""[RESUME] SegFormer-B0 seed={seed} rows={len(cached)}"") || L1099:all_rows.extend(cached) || L1100:continue"
code/Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,1107,model = load_segformer_state(,"L1105:torch.cuda.manual_seed_all(seed) || L1106: || L1107:model = load_segformer_state( || L1108:seed, device, SegformerForSemanticSegmentation, config, torch || L1109:)"
