sample_id,external_case_id,clip_id,source_split_label,model_state_id,state_row_index,source_dice,tent1_dice,tent1_delta_dice,tent1_adaptation_outcome,tent1_harm_label,tent1_benefit_label,pl_dice,pl_delta_dice,pl_adaptation_outcome,pl_harm_label,pl_benefit_label,frozen_safety_probability,frozen_operating_threshold,frozen_risk_flag,model_family,training_seed,checkpoint_sha256,cluster_id
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0107,SUNSEG_case10,case10_2,Hard-Unseen,DeepLabV3-R50__seed20260817,10,0.7826422206991089,0.7924767540152156,0.00983453331610662,NEUTRAL,0,0,0.7775578693744084,-0.005084351324700531,NEUTRAL,0,0,0.1993384368262044,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
testharddataset/unseen/case10_1/case_m_20181113100307_0u62372111373406_1_005_001-1_a15_ayy_image0064,SUNSEG_case10,case10_1,Hard-Unseen,DeepLabV3-R50__seed20260817,11,0.0,0.8949247916892111,0.8949247916892111,BENEFIT,0,1,0.0,0.0,NEUTRAL,0,0,0.019707544538641,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0136,SUNSEG_case10,case10_2,Hard-Unseen,DeepLabV3-R50__seed20260817,12,0.3640245529757139,0.7772192620890721,0.4131947091133582,BENEFIT,0,1,0.8057316065031689,0.441707053527455,BENEFIT,0,1,0.3251763981483837,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0202,SUNSEG_case10,case10_2,Hard-Unseen,DeepLabV3-R50__seed20260817,13,0.8476883360713448,0.8009680084995868,-0.046720327571757925,HARM,1,0,0.8516357206012378,0.003947384529893072,NEUTRAL,0,0,0.2643593210106714,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0051,SUNSEG_case10,case10_2,Hard-Unseen,DeepLabV3-R50__seed20260817,14,0.8195104976220856,0.7314379395142154,-0.08807255810787018,HARM,1,0,0.8458123107971746,0.02630181317508895,BENEFIT,0,1,0.3408515868263556,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0022,SUNSEG_case10,case10_2,Hard-Unseen,DeepLabV3-R50__seed20260817,15,0.83412815399289,0.5312448109813472,-0.30288334301154274,HARM,1,0,0.8939140145170296,0.05978586052413959,BENEFIT,0,1,0.3346099583441442,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
testharddataset/unseen/case10_1/case_m_20181113100307_0u62372111373406_1_005_001-1_a15_ayy_image0011,SUNSEG_case10,case10_1,Hard-Unseen,DeepLabV3-R50__seed20260817,16,0.0,0.9587958131739557,0.9587958131739557,BENEFIT,0,1,0.0,0.0,NEUTRAL,0,0,0.0301533956170174,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0222,SUNSEG_case10,case10_2,Hard-Unseen,DeepLabV3-R50__seed20260817,17,0.783223107794924,0.5014489642588816,-0.28177414353604235,HARM,1,0,0.7521330829085054,-0.031090024886418544,HARM,1,0,0.1850992946274571,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
testharddataset/unseen/case10_1/case_m_20181113100307_0u62372111373406_1_005_001-1_a14_ayy_image0003,SUNSEG_case10,case10_1,Hard-Unseen,DeepLabV3-R50__seed20260817,18,0.0,0.15973973159821064,0.15973973159821064,BENEFIT,0,1,0.0,0.0,NEUTRAL,0,0,0.0232619293585869,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0002,SUNSEG_case10,case10_2,Hard-Unseen,DeepLabV3-R50__seed20260817,19,0.8574926189961835,0.7879510095994704,-0.06954160939671306,HARM,1,0,0.8673897324656544,0.009897113469470975,NEUTRAL,0,0,0.263455787136286,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case10
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a6_ayy_image0019,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,20,0.9395931142410016,0.9454701588664663,0.005877044625464789,NEUTRAL,0,0,0.9245943366210627,-0.014998777619938841,NEUTRAL,0,0,0.6223793653757546,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a1_ayy_image0022,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,21,0.0,0.4505351083268076,0.4505351083268076,BENEFIT,0,1,0.0,0.0,NEUTRAL,0,0,0.0289485304291168,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a2_ayy_image0016,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,22,0.9532266811279827,0.9100841956423935,-0.04314248548558919,HARM,1,0,0.9584843717939949,0.005257690666012227,NEUTRAL,0,0,0.0994487992494466,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a3_ayy_image0017,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,23,0.9117354054592548,0.6944340958199836,-0.2173013096392712,HARM,1,0,0.9241797072185765,0.012444301759321652,NEUTRAL,0,0,0.2983208929018101,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a3_ayy_image0046,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,24,0.9249951796387943,0.8406202997769825,-0.0843748798618118,HARM,1,0,0.8943638651566329,-0.030631314482161387,HARM,1,0,0.1909705835891282,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a6_ayy_image0054,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,25,0.856655290102389,0.7853492333901193,-0.07130605671226975,HARM,1,0,0.8554608830364059,-0.0011944070659831718,NEUTRAL,0,0,0.4953324469490663,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a3_ayy_image0012,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,26,0.8282073392737377,0.7712230215827338,-0.05698431769100387,HARM,1,0,0.8205425234095955,-0.007664815864142138,NEUTRAL,0,0,0.472464684751107,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a1_ayy_image0012,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,27,0.0,0.8386513370365586,0.8386513370365586,BENEFIT,0,1,0.10581356122793208,0.10581356122793208,BENEFIT,0,1,0.2276232534440307,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a3_ayy_image0036,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,28,0.9642756680731365,0.7575439333473359,-0.20673173472580053,HARM,1,0,0.962795089707271,-0.0014805783658654592,NEUTRAL,0,0,0.2557864285333737,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a3_ayy_image0015,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,29,0.9312158808933002,0.7370831107379989,-0.19413277015530128,HARM,1,0,0.9465953205329976,0.015379439639697345,NEUTRAL,0,0,0.2607136077654837,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a6_ayy_image0046,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,30,0.9317561419472248,0.9481878509443593,0.01643170899713453,NEUTRAL,0,0,0.9343579057046105,0.0026017637573857444,NEUTRAL,0,0,0.4488285657358711,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a6_ayy_image0051,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,31,0.8656950321266259,0.7688672689367616,-0.0968277631898643,HARM,1,0,0.8658727671576308,0.00017773503100493304,NEUTRAL,0,0,0.4680782674832954,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a2_ayy_image0018,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,32,0.7111559068484431,0.5969681129116571,-0.11418779393678602,HARM,1,0,0.7093445643590418,-0.0018113424894012908,NEUTRAL,0,0,0.2730186394977394,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a3_ayy_image0026,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,33,0.9667215213018834,0.9486535008976661,-0.01806802040421729,NEUTRAL,0,0,0.9680051933599184,0.0012836720580350347,NEUTRAL,0,0,0.1513056297541675,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a6_ayy_image0029,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,34,0.914936914936915,0.9133587317193068,-0.0015781832176081645,NEUTRAL,0,0,0.9177172292259727,0.0027803142890576726,NEUTRAL,0,0,0.5871036651575674,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a3_ayy_image0031,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,35,0.9580326623623243,0.9040055248618785,-0.054027137500445854,HARM,1,0,0.9585855674065533,0.0005529050442290018,NEUTRAL,0,0,0.2017861711254148,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a1_ayy_image0013,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,36,0.46731001206272615,0.5649453345252011,0.09763532246247497,BENEFIT,0,1,0.15231862378459238,-0.3149913882781338,HARM,1,0,0.4749574555045333,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a3_ayy_image0008,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,37,0.9683339330694495,0.7929364853318143,-0.17539744773763521,HARM,1,0,0.9715579710144927,0.0032240379450432233,NEUTRAL,0,0,0.1614327813822492,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a3_ayy_image0028,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,38,0.9601657406535455,0.9397392652019327,-0.020426475451612802,HARM,1,0,0.9743147402721871,0.014148999618641578,NEUTRAL,0,0,0.1400086213155073,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a1_ayy_image0006,SUNSEG_case100,case100,Hard-Unseen,DeepLabV3-R50__seed20260817,39,0.7169694146871604,0.5895228726020659,-0.12744654208509443,HARM,1,0,0.7186577598260059,0.0016883451388455262,NEUTRAL,0,0,0.5318722702240316,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case100
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0022,SUNSEG_case11,case11,Easy-Unseen,DeepLabV3-R50__seed20260817,40,0.49831904919740516,0.9384104739074313,0.4400914247100261,BENEFIT,0,1,0.489047046862002,-0.009272002335403151,NEUTRAL,0,0,0.4748438001651765,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case11
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_002-1_a16_ayy_image0016,SUNSEG_case11,case11,Easy-Unseen,DeepLabV3-R50__seed20260817,41,0.9544633176725695,0.9681054066333484,0.013642088960778898,NEUTRAL,0,0,0.9515910934823762,-0.0028722241901932843,NEUTRAL,0,0,0.4804079179171363,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case11
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0005,SUNSEG_case11,case11,Easy-Unseen,DeepLabV3-R50__seed20260817,42,0.5004318770741465,0.9557973478408704,0.45536547076672396,BENEFIT,0,1,0.4924394486819216,-0.007992428392224915,NEUTRAL,0,0,0.4549978658764388,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case11
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0032,SUNSEG_case11,case11,Easy-Unseen,DeepLabV3-R50__seed20260817,43,0.4979385307346327,0.9520295202952029,0.45409098956057026,BENEFIT,0,1,0.4908445182417785,-0.007094012492854185,NEUTRAL,0,0,0.4585858392268923,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case11
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0013,SUNSEG_case11,case11,Easy-Unseen,DeepLabV3-R50__seed20260817,44,0.4899377443173592,0.7815811542273385,0.29164340990997933,BENEFIT,0,1,0.47675894158010995,-0.013178802737249251,NEUTRAL,0,0,0.5048009485944498,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case11
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_002-1_a16_ayy_image0027,SUNSEG_case11,case11,Easy-Unseen,DeepLabV3-R50__seed20260817,45,0.0,0.8558571635941356,0.8558571635941356,BENEFIT,0,1,0.0,0.0,NEUTRAL,0,0,0.5455903219640572,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case11
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0037,SUNSEG_case11,case11,Easy-Unseen,DeepLabV3-R50__seed20260817,46,0.4992729490126179,0.9505946935041171,0.4513217444914992,BENEFIT,0,1,0.4921485313135045,-0.007124417699113372,NEUTRAL,0,0,0.4764625078278537,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case11
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0071,SUNSEG_case11,case11,Easy-Unseen,DeepLabV3-R50__seed20260817,47,0.907850248970308,0.9122786443063211,0.004428395336013136,NEUTRAL,0,0,0.9054977528781629,-0.002352496092145051,NEUTRAL,0,0,0.3171058147498015,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case11
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_002-1_a16_ayy_image0021,SUNSEG_case11,case11,Easy-Unseen,DeepLabV3-R50__seed20260817,48,0.9442995970609149,0.9624435464701687,0.01814394940925379,NEUTRAL,0,0,0.9455621301775148,0.001262533116599851,NEUTRAL,0,0,0.4501255482764696,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case11
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_002-1_a16_ayy_image0012,SUNSEG_case11,case11,Easy-Unseen,DeepLabV3-R50__seed20260817,49,0.9408127208480566,0.9624585940375414,0.021645873189484854,BENEFIT,0,1,0.9343887423043096,-0.006423978543746989,NEUTRAL,0,0,0.6029087572116022,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case11
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0009,SUNSEG_case11,case11,Easy-Unseen,DeepLabV3-R50__seed20260817,50,0.5003052933164248,0.5114102378540069,0.01110494453758204,NEUTRAL,0,0,0.494534629517652,-0.005770663798772835,NEUTRAL,0,0,0.4508733608372643,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case11
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0061,SUNSEG_case11,case11,Easy-Unseen,DeepLabV3-R50__seed20260817,51,0.7980922098569158,0.8472419544134906,0.04914974455657484,BENEFIT,0,1,0.7397336679913546,-0.05835854186556111,HARM,1,0,0.492423637721214,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case11
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0003,SUNSEG_case11,case11,Easy-Unseen,DeepLabV3-R50__seed20260817,52,0.6976209213632787,0.9763476807354785,0.2787267593721998,BENEFIT,0,1,0.5193847260951696,-0.17823619526810908,HARM,1,0,0.6065183234378747,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case11
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0050,SUNSEG_case11,case11,Easy-Unseen,DeepLabV3-R50__seed20260817,53,0.1500912408759124,0.810798824768557,0.6607075838926446,BENEFIT,0,1,0.048405417212756666,-0.10168582366315575,HARM,1,0,0.2607417950289042,0.300584763193734,0,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case11
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0016,SUNSEG_case11,case11,Easy-Unseen,DeepLabV3-R50__seed20260817,54,0.5141302844497718,0.9501294219154444,0.43599913746567254,BENEFIT,0,1,0.5052431748327608,-0.008887109617011002,NEUTRAL,0,0,0.4733914351201448,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case11
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0004,SUNSEG_case11,case11,Easy-Unseen,DeepLabV3-R50__seed20260817,55,0.9794590893529613,0.972447599729547,-0.0070114896234143576,NEUTRAL,0,0,0.9765638462864036,-0.002895243066557751,NEUTRAL,0,0,0.6573152129707136,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case11
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0065,SUNSEG_case11,case11,Easy-Unseen,DeepLabV3-R50__seed20260817,56,0.8480827754108339,0.8135344774934343,-0.03454829791739955,HARM,1,0,0.793598163616655,-0.05448461179417885,HARM,1,0,0.4222362683078465,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case11
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0075,SUNSEG_case11,case11,Easy-Unseen,DeepLabV3-R50__seed20260817,57,0.9360530596921537,0.8354818353916884,-0.10057122430046528,HARM,1,0,0.9604653054583909,0.02441224576623724,BENEFIT,0,1,0.3760123426595574,0.300584763193734,1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,case11
